time	index_num	index_size	l0_buffer_num
3916	3	93	0
3926	3	93	0
3937	3	93	0
3948	3	93	0
3958	3	93	0
3968	3	93	0
3979	3	93	0
3990	3	93	0
4000	3	93	0
4010	3	93	0
4020	3	93	0
4031	3	93	0
4041	3	93	0
4052	3	93	0
4062	3	93	0
4072	3	93	0
4083	3	93	0
4094	3	93	0
4105	3	93	0
4116	3	93	0
4128	3	93	0
4138	3	93	0
4149	3	93	0
4160	3	93	0
4171	3	93	0
4182	3	93	0
4193	3	93	0
4203	3	93	0
4213	3	93	0
4224	3	93	0
4233	3	93	0
4244	3	93	0
4254	3	93	0
4265	3	93	0
4276	3	93	0
4286	3	93	0
4297	3	93	0
4308	3	93	0
4319	3	93	0
4329	3	93	0
4340	3	93	0
4351	3	93	0
4362	3	93	0
4372	3	93	0
4382	3	93	0
4392	3	93	0
4403	3	93	0
4413	3	93	0
4424	3	93	0
4434	2	130	1
4446	2	131	1
4456	3	131	1
4466	3	131	1
4476	3	131	1
4487	3	131	1
4498	3	131	1
4508	3	131	1
4518	3	131	1
4528	3	131	1
4538	3	131	1
4549	3	131	1
4559	3	131	1
4570	3	131	1
4579	3	131	1
4589	3	131	1
4600	3	131	1
4610	3	131	1
4621	3	131	1
4631	3	131	1
4642	3	131	1
4652	3	131	1
4662	3	131	1
4672	3	131	1
4683	3	131	1
4693	3	131	1
4704	3	131	1
4714	3	131	1
4724	3	131	1
4734	3	131	1
4744	3	131	1
4755	3	131	0
4764	3	131	0
4773	3	131	0
4783	3	131	0
4792	3	131	0
4801	3	131	0
4811	3	131	0
4820	3	131	0
4829	3	131	0
4840	3	131	0
4849	3	131	0
4860	3	131	0
4870	3	131	0
4880	3	131	0
4884	3	131	0
